epoch,epoch_train_duration_minutes,lr-RangerLite,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,0.001,3089,,,,
1,,,3089,,0.11625562608242035,,
,,0.001,3099,,,,
1,,,3099,,0.12137459218502045,,
,,0.001,3109,,,,
1,,,3109,,0.12266936898231506,,
,,0.001,3119,,,,
1,,,3119,,0.13385285437107086,,
,,0.001,3129,,,,
1,,,3129,,0.12138789892196655,,
,,0.001,3139,,,,
1,,,3139,,0.11999649554491043,,
,,0.001,3149,,,,
1,,,3149,,0.1220046654343605,,
,,0.001,3159,,,,
1,,,3159,,0.12358878552913666,,
,,0.001,3169,,,,
1,,,3169,,0.1327684074640274,,
,,0.001,3179,,,,
1,,,3179,,0.11777041852474213,,
,,0.001,3189,,,,
1,,,3189,,0.1210218295454979,,
,,0.001,3199,,,,
1,,,3199,,0.11977016925811768,,
,,0.001,3209,,,,
1,,,3209,,0.12348131835460663,,
,,0.001,3219,,,,
1,,,3219,,0.11643030494451523,,
,,0.001,3229,,,,
1,,,3229,,0.11707023531198502,,
,,0.001,3239,,,,
1,,,3239,,0.1096477210521698,,
,,0.001,3249,,,,
1,,,3249,,0.10888714343309402,,
,,0.001,3259,,,,
1,,,3259,,0.1176295131444931,,
,,0.001,3269,,,,
1,,,3269,,0.11365045607089996,,
,,0.001,3279,,,,
1,,,3279,,0.1181265115737915,,
,,0.001,3289,,,,
1,,,3289,,0.1118311882019043,,
,,0.001,3299,,,,
1,,,3299,,0.11583234369754791,,
,,0.001,3309,,,,
1,,,3309,,0.12790030241012573,,
,,0.001,3319,,,,
1,,,3319,,0.11194146424531937,,
,,0.001,3329,,,,
1,,,3329,,0.11850862205028534,,
,,0.001,3339,,,,
1,,,3339,,0.11813805252313614,,
,,0.001,3349,,,,
1,,,3349,,0.10884532332420349,,
,,0.001,3359,,,,
1,,,3359,,0.12327957898378372,,
,,0.001,3369,,,,
1,,,3369,,0.11371281743049622,,
,,0.001,3379,,,,
1,,,3379,,0.118852898478508,,
,,0.001,3389,,,,
1,,,3389,,0.11384520679712296,,
,,0.001,3399,,,,
1,,,3399,,0.10649440437555313,,
,,0.001,3409,,,,
1,,,3409,,0.10873176157474518,,
,,0.001,3419,,,,
1,,,3419,,0.11041495203971863,,
,,0.001,3429,,,,
1,,,3429,,0.11198987066745758,,
,,0.001,3439,,,,
1,,,3439,,0.11176267266273499,,
,,0.001,3449,,,,
1,,,3449,,0.11937607824802399,,
,,0.001,3459,,,,
1,,,3459,,0.11379334330558777,,
,,0.001,3469,,,,
1,,,3469,,0.12074889242649078,,
,,0.001,3479,,,,
1,,,3479,,0.12702712416648865,,
,,0.001,3489,,,,
1,,,3489,,0.10803864151239395,,
,,0.001,3499,,,,
1,,,3499,,0.11568192392587662,,
,,0.001,3509,,,,
1,,,3509,,0.11087138950824738,,
,,0.001,3519,,,,
1,,,3519,,0.11177890747785568,,
,,0.001,3529,,,,
1,,,3529,,0.1191425547003746,,
,,0.001,3539,,,,
